Hw1,Hw2,Hw3,Hw4,Hw5,Exam1,Exam2,Exam3,Exam4
50.0,81.0,32.0,60.0,50.0,55.0,33.0,44.0,34.0
39.0,77.0,35.0,53.0,46.0,84.0,28.0,58.0,33.0
38.0,62.0,7.0,52.0,49.0,60.0,43.0,32.0,35.0
33.0,98.0,35.0,47.0,47.0,57.0,9.0,42.0,37.0
46.0,93.0,22.0,42.0,40.0,47.0,11.0,60.0,30.0
31.0,56.0,30.0,29.0,44.0,57.0,28.0,40.0,23.0
35.0,81.0,25.0,48.0,42.0,68.0,20.0,42.0,27.0
19.0,78.0,22.0,29.0,47.0,57.0,25.0,52.0,36.0
45.0,56.0,28.0,38.0,41.0,63.0,23.0,46.0,23.0
43.0,82.0,14.0,60.0,50.0,99.0,24.0,35.0,46.0
31.0,93.0,26.0,55.0,47.0,89.0,25.0,60.0,36.0
39.0,100.0,16.0,32.0,50.0,52.0,41.0,41.0,28.0
50.0,97.0,38.0,54.0,41.0,100.0,23.0,52.0,44.0
34.0,84.0,31.0,49.0,40.0,81.0,36.0,39.0,34.0
31.0,100.0,30.0,49.0,41.0,86.0,20.0,45.0,29.0
41.0,84.0,24.0,49.0,40.0,45.0,29.0,47.0,41.0
50.0,89.0,19.0,56.0,38.0,66.0,24.0,60.0,28.0
28.0,74.0,20.0,56.0,40.0,52.0,21.0,41.0,50.0
44.0,76.0,16.0,53.0,40.0,44.0,35.0,48.0,44.0
38.0,88.0,20.0,35.0,48.0,59.0,19.0,41.0,35.0
32.0,54.0,20.0,23.0,48.0,43.0,16.0,45.0,28.0
49.0,56.0,27.0,45.0,39.0,85.0,24.0,52.0,43.0
50.0,95.0,22.0,43.0,50.0,88.0,30.0,30.0,35.0
28.0,79.0,24.0,54.0,47.0,91.0,21.0,36.0,31.0
35.0,81.0,40.0,45.0,40.0,68.0,21.0,49.0,20.0
36.0,77.0,27.0,39.0,44.0,47.0,21.0,40.0,39.0
25.0,87.0,35.0,24.0,47.0,89.0,20.0,41.0,34.0
32.0,70.0,13.0,57.0,50.0,59.0,13.0,50.0,29.0
36.0,70.0,30.0,52.0,41.0,47.0,12.0,50.0,23.0
30.0,66.0,25.0,26.0,46.0,85.0,26.0,42.0,36.0
39.0,33.0,39.0,49.0,42.0,67.0,29.0,44.0,15.0
50.0,73.0,32.0,38.0,50.0,81.0,30.0,36.0,47.0
41.0,95.0,21.0,40.0,50.0,54.0,24.0,55.0,36.0
40.0,69.0,28.0,32.0,50.0,73.0,20.0,51.0,30.0
23.0,55.0,30.0,43.0,44.0,97.0,16.0,38.0,31.0
36.0,74.0,23.0,44.0,44.0,61.0,18.0,47.0,26.0
25.0,70.0,24.0,60.0,41.0,94.0,31.0,34.0,43.0
24.0,35.0,29.0,27.0,47.0,61.0,38.0,55.0,30.0
29.0,57.0,22.0,42.0,43.0,78.0,30.0,48.0,27.0
22.0,95.0,20.0,38.0,42.0,38.0,21.0,41.0,41.0
41.0,75.0,32.0,48.0,45.0,78.0,23.0,41.0,32.0
